"name","category","evas","longitude","latitude"
"Aachen Hbf",2,"08000001",6.091499,50.7678
"Aalen Hbf",3,"08000002",10.096271,48.841013
"Altbach",3,"08000508",9.382384,48.720393
"Altenbeken",3,"08000004",8.943319,51.766433
"Alzey",3,"08000007",8.109749,49.7502
"Andernach",3,"08000331",7.404839,50.434542
"Angermünde",3,"08010004",13.996361,53.015221
"Ansbach",3,"08000009",10.578239,49.298032
"Aschaffenburg Hbf",2,"08000010",9.143697,49.980557
"Au (Sieg)",3,"08000012",7.656537,50.773765
"Augsburg Haunstetterstraße",3,"08000658",10.900985,48.355285
"Augsburg Hbf",1,"08000013",10.88557,48.365441
"Augsburg-Hochzoll",3,"08000661",10.943376,48.352977
"Backnang",3,"08000016",9.425989,48.942676
"Bad Friedrichshall Hbf",3,"08000017",9.199771,49.231571
"Bad Hersfeld",3,"08000020",9.71658111,50.8697662
"Bad Homburg",3,"08000712",8.620624,50.219904
"Bad Kreuznach",3,"08000021",7.866435,49.842399
"Bad Oeynhausen",3,"08000732",8.796523,52.205398
"Bad Oldesloe",2,"08000023",10.3825414,53.8053902
"Bad Schandau",3,"08010022",14.1375375,50.9192886
"Bad Vilbel",3,"08000760",8.73955965,50.1885876
"Baden-Baden",3,"08000774",8.190831,48.790327
"Bamberg",2,"08000025",10.899489,49.900759
"Bayreuth Hbf",3,"08000028",11.579985,49.949616
"Bebra",3,"08000029",9.797788,50.969568
"Bergen auf Rügen",3,"08010033",13.417821,54.4205
"Berlin Alexanderplatz",3,"08011155,08089001",13.410961,52.521481
"Berlin Anhalter Bahnhof",3,"08089002",13.381362,52.503486
"Berlin Bornholmer Straße",3,"08089008",13.397943,52.554491
"Berlin Frankfurter Allee",3,"08089013",13.47441,52.515168
"Berlin Friedrichstraße",2,"08011306,08089066",13.3872056,52.520373
"Berlin Gesundbrunnen",1,"08011102,08089015",13.388513,52.548963
"Berlin Hauptbahnhof",1,"08011160,08089021,08098160",13.369545,52.525592
"Berlin Olympiastadion",3,"08089330",13.242389,52.511166
"Berlin Ostbahnhof",1,"08010255,08089185",13.4346807,52.5104881
"Berlin Ostkreuz",2,"08011162,08089028",13.469105,52.503037
"Berlin Potsdamer Platz",2,"08011118,08089032",13.375988,52.509379
"Berlin Südkreuz",1,"08011113,08089073",13.365319,52.475047
"Berlin Westkreuz",3,"08089047",13.283966,52.500737
"Berlin Zoologischer Garten",2,"08010406,08089046",13.3324447,52.5073407
"Berlin-Charlottenburg",3,"08010403,08089165",13.3023298,52.5042126
"Berlin-Hohenschönhausen",3,"08011901,08089117",13.5124218,52.5660016
"Berlin-Lichtenberg",2,"08010036,08089182",13.4966934,52.5101355
"Berlin-Lichterfelde Ost",3,"08011041,08089113",13.328556,52.429451
"Berlin-Mahlsdorf",3,"08011343,08089072",13.611417,52.512107
"Berlin-Neukölln",3,"08089077",13.44306,52.46942
"Berlin-Schöneweide",3,"08010041,08089168",13.509395,52.455127
"Berlin-Spandau",2,"08010404,08089083",13.1968975,52.5346481
"Berlin-Wannsee",2,"08010405,08089190",13.1795275,52.4209723
"Berliner Tor",3,"08000908",10.02463,53.55287
"Bernau (b Berlin)",3,"08013470,08089205",13.5926414,52.6755689
"Betzdorf (Sieg)",3,"08000034",7.87005,50.789294
"Bielefeld Hbf",2,"08000036",8.532722,52.029261
"Bietigheim-Bissingen",2,"08000038",9.137557,48.947933
"Bitterfeld",3,"08010050",12.31685,51.622861
"Blankenese",3,"08001007",9.814607,53.564364
"Bochum Hbf",2,"08000041",7.223275,51.478609
"Bonn Hbf",2,"08000044",7.097136,50.732008
"Bonn-Bad Godesberg",3,"08001082",7.159555,50.683927
"Brandenburg Hbf",3,"08010060",12.566138,52.400554
"Braunschweig Hbf",2,"08000049",10.540295,52.252218
"Bremen Hbf",2,"08000050",8.813834,53.083481
"Bremerhaven Hbf",3,"08000051",8.599555,53.534912
"Bruchsal",2,"08000055",8.589649,49.124622
"Buchholz (Nordheide)",3,"08000056",9.876266,53.324683
"Buchloe",3,"08000057",10.716217,48.033723
"Bullay (DB)",3,"08001267",7.134584,50.05446
"Buxtehude",3,"08001315",9.688314,53.470491
"Böblingen",3,"08001055",9.004128,48.687758
"Büchen",3,"08000058",10.623298,53.474972
"Bünde (Westf)",3,"08000059",8.573876,52.202075
"Castrop-Rauxel Hbf",3,"08001327",7.30398,51.573526
"Celle Pbf",3,"08000064",10.062468,52.6204548
"Chemnitz Hbf",2,"08010184",12.930877,50.839696
"Coburg",3,"08001338",10.9573281,50.2629273
"Cottbus Hbf",2,"08010073",14.324162,51.750957
"Crailsheim",3,"08000067",10.064326,49.137872
"Dachau Bahnhof",3,"08001354",11.44426,48.254652
"Darmstadt Hbf",2,"08000068",8.629636,49.872503
"Delmenhorst",3,"08000070",8.629758,53.052792
"Dessau Hbf",3,"08010077",12.234945,51.839865
"Dortmund Hbf",1,"08000080",7.45929,51.517896
"Dortmund-Dorstfeld",3,"08000081",7.424864,51.509376
"Dresden Hbf",1,"08010085",13.732035,51.040563
"Dresden-Neustadt",2,"08010089",13.740701,51.065899
"Duisburg Hbf",1,"08000086",6.775903,51.429785
"Düren",3,"08000084",6.482451,50.809517
"Düsseldorf Flughafen",3,"08000082",6.786836,51.292009
"Düsseldorf Hbf",1,"08000085",6.794319,51.219962
"Düsseldorf-Benrath",3,"08001584",6.878931,51.162293
"Düsseldorf-Derendorf",3,"08001586",6.794512,51.247624
"Eberbach",3,"08000369",8.984152,49.465768
"Eberswalde Hbf",3,"08010093",13.797062,52.834021
"Eidelstedt",3,"08002555",9.907097,53.595887
"Eisenach Hbf",3,"08010097",10.331986,50.976922
"Elmshorn",3,"08000092",9.659408,53.754025
"Emden Hbf",3,"08001768",7.195176,53.369036
"Erfurt Hbf",2,"08010101",11.0379928,50.9723561
"Erkner",3,"08013477,08089181",13.7522435,52.4275606
"Erlangen",3,"08001844",11.0016382,49.5958303
"Essen Hbf",1,"08000098",7.014793,51.451355
"Esslingen (Neckar)",3,"08001920",9.30052221,48.7385453
"Esslingen-Mettingen",3,"08001921",9.27583,48.747083
